method,animal,dims,resolution,cluster,cell_count,silhouette_score,is_small_cluster,average_silhouette_score,cumulative_variance,n_DEGs
SCT,animal25,10,0.5,C12,78,-0.0188251523257715,TRUE,0.180863827422872,0.743573718858599,294
SCT,animal26,10,0.5,C0,889,NA,FALSE,0.222384045517749,0.733626732914545,1487
SCT,animal26,10,0.5,C1,618,0.252758798637077,FALSE,0.222384045517749,0.733626732914545,686
SCT,animal26,10,0.5,C2,546,0.254505964502509,FALSE,0.222384045517749,0.733626732914545,913
SCT,animal26,10,0.5,C3,479,0.335279842456752,FALSE,0.222384045517749,0.733626732914545,167
SCT,animal26,10,0.5,C4,477,-0.0198982198386103,FALSE,0.222384045517749,0.733626732914545,2106
SCT,animal26,10,0.5,C5,396,0.182608943908765,FALSE,0.222384045517749,0.733626732914545,745
SCT,animal26,10,0.5,C6,384,0.25248756745316697,FALSE,0.222384045517749,0.733626732914545,648
SCT,animal26,10,0.5,C7,314,0.353588091938055,FALSE,0.222384045517749,0.733626732914545,934
SCT,animal26,10,0.5,C8,118,0.0449906853902953,FALSE,0.222384045517749,0.733626732914545,257
SCT,animal26,10,0.5,C9,14,0.354423218219695,TRUE,0.222384045517749,0.733626732914545,338
SCT,animal27,10,0.5,C0,1876,NA,FALSE,0.160520839367917,0.681046775746021,6
SCT,animal27,10,0.5,C1,1504,0.240636978676804,FALSE,0.160520839367917,0.681046775746021,1128
SCT,animal27,10,0.5,C2,784,0.148282278155426,FALSE,0.160520839367917,0.681046775746021,43
SCT,animal27,10,0.5,C3,519,0.0859000337050748,FALSE,0.160520839367917,0.681046775746021,418
SCT,animal27,10,0.5,C4,432,0.0489936084710028,FALSE,0.160520839367917,0.681046775746021,979
SCT,animal27,10,0.5,C5,403,0.141926230520211,FALSE,0.160520839367917,0.681046775746021,149
SCT,animal27,10,0.5,C6,152,0.0526877821798322,FALSE,0.160520839367917,0.681046775746021,276
SCT,animal27,10,0.5,C7,109,0.384516662132558,FALSE,0.160520839367917,0.681046775746021,755
SCT,animal27,10,0.5,C8,79,0.24234095062653,TRUE,0.160520839367917,0.681046775746021,142
SCT,animal27,10,0.5,C9,29,-0.0584679573134463,TRUE,0.160520839367917,0.681046775746021,453
SCT,animal28,10,0.5,C0,3164,NA,FALSE,0.156555226139744,0.787978246691232,2747
SCT,animal28,10,0.5,C1,2745,0.0952579846173054,FALSE,0.156555226139744,0.787978246691232,300
SCT,animal28,10,0.5,C2,2447,0.0488811601697306,FALSE,0.156555226139744,0.787978246691232,413
SCT,animal28,10,0.5,C3,2049,0.392059813044296,FALSE,0.156555226139744,0.787978246691232,265
SCT,animal28,10,0.5,C4,1962,-0.020638932270065,FALSE,0.156555226139744,0.787978246691232,2238
SCT,animal28,10,0.5,C5,1838,0.207169540120598,FALSE,0.156555226139744,0.787978246691232,911
SCT,animal28,10,0.5,C6,1534,0.171393998774949,FALSE,0.156555226139744,0.787978246691232,771
SCT,animal28,10,0.5,C7,1467,0.0819439229280472,FALSE,0.156555226139744,0.787978246691232,629
SCT,animal28,10,0.5,C8,1251,0.437820958039301,FALSE,0.156555226139744,0.787978246691232,1857
SCT,animal28,10,0.5,C9,820,0.212244011873363,FALSE,0.156555226139744,0.787978246691232,276
SCT,animal25,10,0.75,C0,1730,NA,FALSE,0.165502168430633,0.743573718858599,162
SCT,animal25,10,0.75,C1,1535,0.212724829652485,FALSE,0.165502168430633,0.743573718858599,2897
SCT,animal25,10,0.75,C2,837,0.19204954072724,FALSE,0.165502168430633,0.743573718858599,14
SCT,animal25,10,0.75,C3,773,0.238657620819051,FALSE,0.165502168430633,0.743573718858599,1038
SCT,animal25,10,0.75,C4,641,0.14478230960225,FALSE,0.165502168430633,0.743573718858599,988
SCT,animal25,10,0.75,C5,634,0.207130793160699,FALSE,0.165502168430633,0.743573718858599,582
SCT,animal25,10,0.75,C6,512,0.205281597897598,FALSE,0.165502168430633,0.743573718858599,1542
SCT,animal25,10,0.75,C7,468,0.0248527679406834,FALSE,0.165502168430633,0.743573718858599,625
SCT,animal25,10,0.75,C8,314,-0.0762301172546182,FALSE,0.165502168430633,0.743573718858599,1198
SCT,animal25,10,0.75,C9,263,0.0483237773856106,FALSE,0.165502168430633,0.743573718858599,185
SCT,animal25,10,0.75,C10,258,0.289539962191824,FALSE,0.165502168430633,0.743573718858599,367
SCT,animal25,10,0.75,C11,211,0.110380761017172,FALSE,0.165502168430633,0.743573718858599,1064
SCT,animal25,10,0.75,C12,183,0.293269179510448,FALSE,0.165502168430633,0.743573718858599,1606
SCT,animal25,10,0.75,C13,79,-0.0295824231956735,TRUE,0.165502168430633,0.743573718858599,2510
SCT,animal25,10,0.75,C14,79,0.00213117538424749,TRUE,0.165502168430633,0.743573718858599,867
SCT,animal26,10,0.75,C0,527,NA,FALSE,0.215303202495845,0.733626732914545,1394
