"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"SCT","merged",25,0.25,7,1838,0.124389914956007,FALSE,0.141901631391588
"SCT","merged",25,0.25,8,1271,0.16948976259091,FALSE,0.141901631391588
"SCT","merged",25,0.25,9,573,0.384637664636738,FALSE,0.141901631391588
"SCT","merged",25,0.25,10,403,0.357165179529312,FALSE,0.141901631391588
"SCT","merged",25,0.25,11,196,0.16163157159146,FALSE,0.141901631391588
"SCT","merged",25,0.25,12,183,0.319594272036197,FALSE,0.141901631391588
"SCT","merged",25,0.3,0,9164,NA,FALSE,0.131452238150336
"SCT","merged",25,0.3,1,4842,0.0837902818842879,FALSE,0.131452238150336
"SCT","merged",25,0.3,2,4096,0.186866917301139,FALSE,0.131452238150336
"SCT","merged",25,0.3,3,3968,0.0191742275698192,FALSE,0.131452238150336
"SCT","merged",25,0.3,4,3115,0.162699377959632,FALSE,0.131452238150336
"SCT","merged",25,0.3,5,2997,0.0580086094125689,FALSE,0.131452238150336
"SCT","merged",25,0.3,6,2257,0.224836400736843,FALSE,0.131452238150336
"SCT","merged",25,0.3,7,2030,0.156334109388638,FALSE,0.131452238150336
"SCT","merged",25,0.3,8,1942,0.213652686018875,FALSE,0.131452238150336
"SCT","merged",25,0.3,9,1267,-0.0589129585938464,FALSE,0.131452238150336
"SCT","merged",25,0.3,10,685,0.385930619900454,FALSE,0.131452238150336
"SCT","merged",25,0.3,11,602,0.213857609937828,FALSE,0.131452238150336
"SCT","merged",25,0.3,12,573,0.0763766495553228,FALSE,0.131452238150336
"SCT","merged",25,0.3,13,196,0.35839769377898,FALSE,0.131452238150336
"SCT","merged",25,0.3,14,182,0.318064378353509,FALSE,0.131452238150336
"SCT","merged",25,0.5,0,8755,NA,FALSE,0.143942438194575
"SCT","merged",25,0.5,1,3863,0.0900884692170638,FALSE,0.143942438194575
"SCT","merged",25,0.5,2,3781,0.143442688850107,FALSE,0.143942438194575
"SCT","merged",25,0.5,3,3011,0.335065258244358,FALSE,0.143942438194575
"SCT","merged",25,0.5,4,2850,0.216869910624455,FALSE,0.143942438194575
"SCT","merged",25,0.5,5,2290,0.0404727152310203,FALSE,0.143942438194575
"SCT","merged",25,0.5,6,2267,0.150375494804105,FALSE,0.143942438194575
"SCT","merged",25,0.5,7,2048,0.0777182413978157,FALSE,0.143942438194575
"SCT","merged",25,0.5,8,1950,0.205991572597422,FALSE,0.143942438194575
"SCT","merged",25,0.5,9,1814,-0.0595346095825531,FALSE,0.143942438194575
"SCT","merged",25,0.5,10,1268,0.10790722355128,FALSE,0.143942438194575
"SCT","merged",25,0.5,11,1080,0.375849227484133,FALSE,0.143942438194575
"SCT","merged",25,0.5,12,846,0.0465008140930563,FALSE,0.143942438194575
"SCT","merged",25,0.5,13,700,0.00709009434495629,FALSE,0.143942438194575
"SCT","merged",25,0.5,14,572,0.199850843356975,FALSE,0.143942438194575
"SCT","merged",25,0.5,15,406,0.322293688744516,FALSE,0.143942438194575
"SCT","merged",25,0.5,16,232,0.126578192452596,FALSE,0.143942438194575
"SCT","merged",25,0.5,17,183,0.164188906338017,FALSE,0.143942438194575
"SCT","merged",25,0.75,0,4647,NA,FALSE,0.139650989274812
"SCT","merged",25,0.75,1,3931,0.180488182132679,FALSE,0.139650989274812
"SCT","merged",25,0.75,2,3759,0.114836441466921,FALSE,0.139650989274812
"SCT","merged",25,0.75,3,3115,0.291735834404777,FALSE,0.139650989274812
"SCT","merged",25,0.75,4,3007,0.0574496764752404,FALSE,0.139650989274812
"SCT","merged",25,0.75,5,2285,0.213596691636452,FALSE,0.139650989274812
"SCT","merged",25,0.75,6,2255,0.127820062629739,FALSE,0.139650989274812
"SCT","merged",25,0.75,7,2212,0.0656672683700871,FALSE,0.139650989274812
"SCT","merged",25,0.75,8,1873,0.152584342377034,FALSE,0.139650989274812
"SCT","merged",25,0.75,9,1841,-0.0175256959640441,FALSE,0.139650989274812
"SCT","merged",25,0.75,10,1730,0.101532310529247,FALSE,0.139650989274812
"SCT","merged",25,0.75,11,1572,0.118817535393947,FALSE,0.139650989274812
"SCT","merged",25,0.75,12,1272,-0.0462611714191865,FALSE,0.139650989274812
"SCT","merged",25,0.75,13,1173,0.36298117896048,FALSE,0.139650989274812
"SCT","merged",25,0.75,14,1084,0.0126460418526499,FALSE,0.139650989274812
"SCT","merged",25,0.75,15,760,0.0426281652218572,FALSE,0.139650989274812
"SCT","merged",25,0.75,16,573,0.144410843771534,FALSE,0.139650989274812
"SCT","merged",25,0.75,17,406,0.319878707165446,FALSE,0.139650989274812
