"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","animal","method","dims","resolution"
9.4832064148221e-90,0.902388089487598,0.146,0.08,1.63812907609637e-85,0,"A4GALT","merged","SCT",15,0.25
5.96063603406111e-89,0.992350953218625,0.123,0.063,1.02964026852372e-84,0,"ARHGAP9","merged","SCT",15,0.25
6.42810088983566e-89,1.0166032638672,0.113,0.056,1.11039014771021e-84,0,"SERTAD1","merged","SCT",15,0.25
1.82956396341533e-88,0.481918958119989,0.364,0.267,3.16038879040364e-84,0,"GABARAPL2","merged","SCT",15,0.25
1.56290457615317e-85,0.303291713785251,0.63,0.532,2.69976136484698e-81,0,"RPL36AL","merged","SCT",15,0.25
3.13005497705132e-85,0.617113287109609,0.236,0.155,5.40685696735844e-81,0,"IFITM3","merged","SCT",15,0.25
2.55465820687255e-84,1.07209837645891,0.1,0.048,4.41291658655164e-80,0,"CSGALNACT2","merged","SCT",15,0.25
1.00964135349308e-83,0.699928573161767,0.189,0.116,1.74405447402395e-79,0,"LAP3","merged","SCT",15,0.25
1.20722543562187e-83,0.772829648274151,0.147,0.082,2.08536121749322e-79,0,"TIMP3","merged","SCT",15,0.25
5.32240491749863e-82,0.865414213622353,0.118,0.062,9.19392225448714e-78,0,"KIF13B","merged","SCT",15,0.25
3.49211760063612e-81,0.609349102573482,0.202,0.127,6.03228394333884e-77,0,"ANXA1","merged","SCT",15,0.25
2.8711127172129e-80,0.844517706098307,0.137,0.076,4.95956010771356e-76,0,"SUDS3","merged","SCT",15,0.25
9.98572579797666e-80,0.575328513516212,0.267,0.185,1.72493427434249e-75,0,"ATP5F1D","merged","SCT",15,0.25
1.66205437325046e-78,0.692349675660188,0.157,0.092,2.87103272435284e-74,0,"SERINC5","merged","SCT",15,0.25
2.65442783524872e-78,0.647580138652378,0.172,0.104,4.58525864260864e-74,0,"PTPN12","merged","SCT",15,0.25
4.55199381951427e-78,0.878056572218395,0.117,0.062,7.86311412382895e-74,0,"PYGL","merged","SCT",15,0.25
5.7220838836833e-78,0.635241559592885,0.21,0.136,9.88432770067453e-74,0,"CD2","merged","SCT",15,0.25
5.04100697866731e-77,0.291924242845308,0.588,0.488,8.70783545494991e-73,0,"PPDPF","merged","SCT",15,0.25
9.87521203665599e-77,0.894089578691935,0.131,0.073,1.70584412721195e-72,0,"ENSBTAG00000054259","merged","SCT",15,0.25
1.02302470290574e-76,0.560784666855553,0.229,0.152,1.76717287179938e-72,0,"PTPRE","merged","SCT",15,0.25
