"cluster","animal","n_DEGs","dims","resolution"
"C17","animal27",169,"15","0.75"
"C17","animal28",18421,"15","0.75"
"C2","animal25",49664,"15","0.75"
"C2","animal26",66816,"15","0.75"
"C2","animal27",61568,"15","0.75"
"C2","animal28",329600,"15","0.75"
"C3","animal25",343677,"15","0.75"
"C3","animal26",45780,"15","0.75"
"C3","animal27",331251,"15","0.75"
"C3","animal28",344004,"15","0.75"
"C4","animal25",75396,"15","0.75"
"C4","animal26",165188,"15","0.75"
"C4","animal27",56852,"15","0.75"
"C4","animal28",456036,"15","0.75"
"C5","animal25",237325,"15","0.75"
"C5","animal26",62700,"15","0.75"
"C5","animal27",141075,"15","0.75"
"C5","animal28",372350,"15","0.75"
"C6","animal25",711678,"15","0.75"
"C6","animal26",545259,"15","0.75"
"C6","animal27",196185,"15","0.75"
"C6","animal28",2252745,"15","0.75"
"C7","animal25",69192,"15","0.75"
"C7","animal26",11036,"15","0.75"
"C7","animal27",15252,"15","0.75"
"C7","animal28",188480,"15","0.75"
"C8","animal25",110619,"15","0.75"
"C8","animal26",45790,"15","0.75"
"C8","animal27",182437,"15","0.75"
"C8","animal28",190872,"15","0.75"
"C9","animal25",45036,"15","0.75"
"C9","animal26",28078,"15","0.75"
"C9","animal27",9313,"15","0.75"
"C9","animal28",172360,"15","0.75"
"C0","animal25",2024048,"20","0.25"
"C0","animal26",417118,"20","0.25"
"C0","animal27",1521192,"20","0.25"
"C0","animal28",2740460,"20","0.25"
"C1","animal25",87318,"20","0.25"
"C1","animal26",82320,"20","0.25"
"C1","animal27",52626,"20","0.25"
"C1","animal28",596820,"20","0.25"
"C10","animal25",30276,"20","0.25"
"C10","animal26",13050,"20","0.25"
"C10","animal27",72819,"20","0.25"
"C10","animal28",31059,"20","0.25"
"C11","animal25",10218,"20","0.25"
"C11","animal26",1834,"20","0.25"
"C11","animal27",7860,"20","0.25"
"C11","animal28",10611,"20","0.25"
"C12","animal25",3408,"20","0.25"
"C12","animal26",426,"20","0.25"
"C12","animal27",20164,"20","0.25"
"C12","animal28",2130,"20","0.25"
"C2","animal25",172860,"20","0.25"
"C2","animal26",59340,"20","0.25"
"C2","animal27",36980,"20","0.25"
"C2","animal28",439116,"20","0.25"
"C3","animal25",39116,"20","0.25"
"C3","animal26",68834,"20","0.25"
"C3","animal27",56007,"20","0.25"
"C3","animal28",323596,"20","0.25"
"C4","animal25",1209130,"20","0.25"
"C4","animal26",967304,"20","0.25"
"C4","animal27",407017,"20","0.25"
"C4","animal28",3358316,"20","0.25"
"C5","animal25",66576,"20","0.25"
"C5","animal26",149112,"20","0.25"
"C5","animal27",50616,"20","0.25"
"C5","animal28",415644,"20","0.25"
"C6","animal25",160160,"20","0.25"
"C6","animal26",21560,"20","0.25"
"C6","animal27",139720,"20","0.25"
"C6","animal28",150080,"20","0.25"
"C7","animal25",82782,"20","0.25"
"C7","animal26",52852,"20","0.25"
"C7","animal27",37376,"20","0.25"
"C7","animal28",12848,"20","0.25"
"C8","animal25",17760,"20","0.25"
"C8","animal26",7488,"20","0.25"
"C8","animal27",21888,"20","0.25"
"C8","animal28",16128,"20","0.25"
"C9","animal25",14606,"20","0.25"
"C9","animal26",12663,"20","0.25"
"C9","animal27",3752,"20","0.25"
"C9","animal28",6968,"20","0.25"
"C0","animal25",771882,"20","0.5"
"C0","animal26",144303,"20","0.5"
"C0","animal27",453921,"20","0.5"
"C0","animal28",1057707,"20","0.5"
"C1","animal25",33633,"20","0.5"
"C1","animal26",34542,"20","0.5"
"C1","animal27",16968,"20","0.5"
"C1","animal28",303606,"20","0.5"
"C10","animal25",82782,"20","0.5"
"C10","animal26",52414,"20","0.5"
"C10","animal27",37668,"20","0.5"
"C10","animal28",12994,"20","0.5"
"C11","animal25",18522,"20","0.5"
"C11","animal26",7742,"20","0.5"
"C11","animal27",23324,"20","0.5"
"C11","animal28",17248,"20","0.5"
"C12","animal25",14606,"20","0.5"
"C12","animal26",12663,"20","0.5"
"C12","animal27",3752,"20","0.5"
"C12","animal28",6968,"20","0.5"
"C13","animal25",16560,"20","0.5"
"C13","animal26",5980,"20","0.5"
"C13","animal27",52440,"20","0.5"
"C13","animal28",17480,"20","0.5"
"C14","animal25",10293,"20","0.5"
"C14","animal26",1974,"20","0.5"
"C14","animal27",8178,"20","0.5"
"C14","animal28",7191,"20","0.5"
"C15","animal25",3408,"20","0.5"
"C15","animal26",426,"20","0.5"
"C15","animal27",20164,"20","0.5"
"C15","animal28",2130,"20","0.5"
"C2","animal25",39216,"20","0.5"
"C2","animal26",70047,"20","0.5"
"C2","animal27",55728,"20","0.5"
"C2","animal28",329337,"20","0.5"
"C3","animal25",351174,"20","0.5"
"C3","animal26",57138,"20","0.5"
"C3","animal27",326457,"20","0.5"
"C3","animal28",391941,"20","0.5"
"C4","animal25",65992,"20","0.5"
"C4","animal26",147126,"20","0.5"
"C4","animal27",51302,"20","0.5"
"C4","animal28",411546,"20","0.5"
"C5","animal25",187500,"20","0.5"
"C5","animal26",85200,"20","0.5"
"C5","animal27",281100,"20","0.5"
"C5","animal28",319800,"20","0.5"
"C6","animal25",80145,"20","0.5"
"C6","animal26",53841,"20","0.5"
"C6","animal27",17810,"20","0.5"
"C6","animal28",239750,"20","0.5"
"C7","animal25",501600,"20","0.5"
"C7","animal26",463320,"20","0.5"
"C7","animal27",128040,"20","0.5"
"C7","animal28",1966800,"20","0.5"
"C8","animal25",67639,"20","0.5"
"C8","animal26",11011,"20","0.5"
"C8","animal27",14157,"20","0.5"
"C8","animal28",184888,"20","0.5"
"C9","animal25",628672,"20","0.5"
"C9","animal26",236645,"20","0.5"
"C9","animal27",279509,"20","0.5"
"C9","animal28",810844,"20","0.5"
"C0","animal25",331690,"20","0.75"
"C0","animal26",57400,"20","0.75"
"C0","animal27",165230,"20","0.75"
"C0","animal28",410205,"20","0.75"
"C1","animal25",40320,"20","0.75"
"C1","animal26",73984,"20","0.75"
"C1","animal27",58496,"20","0.75"
"C1","animal28",337280,"20","0.75"
"C10","animal25",84656,"20","0.75"
"C10","animal26",53280,"20","0.75"
"C10","animal27",38332,"20","0.75"
"C10","animal28",13172,"20","0.75"
"C11","animal25",326876,"20","0.75"
"C11","animal26",221628,"20","0.75"
"C11","animal27",139656,"20","0.75"
"C11","animal28",484748,"20","0.75"
"C12","animal25",15960,"20","0.75"
"C12","animal26",15855,"20","0.75"
"C12","animal27",4620,"20","0.75"
"C12","animal28",81795,"20","0.75"
"C13","animal25",36081,"20","0.75"
"C13","animal26",15903,"20","0.75"
"C13","animal27",40527,"20","0.75"
"C13","animal28",77976,"20","0.75"
"C14","animal25",27132,"20","0.75"
"C14","animal26",6726,"20","0.75"
"C14","animal27",22116,"20","0.75"
"C14","animal28",27816,"20","0.75"
"C15","animal25",19796,"20","0.75"
"C15","animal26",8383,"20","0.75"
"C15","animal27",24543,"20","0.75"
"C15","animal28",18685,"20","0.75"
"C16","animal25",14606,"20","0.75"
"C16","animal26",12663,"20","0.75"
"C16","animal27",3752,"20","0.75"
"C16","animal28",6968,"20","0.75"
"C17","animal25",16560,"20","0.75"
"C17","animal26",5980,"20","0.75"
"C17","animal27",52440,"20","0.75"
"C17","animal28",17480,"20","0.75"
"C18","animal25",10087,"20","0.75"
"C18","animal26",1834,"20","0.75"
"C18","animal27",7860,"20","0.75"
"C18","animal28",10742,"20","0.75"
"C19","animal25",3408,"20","0.75"
"C19","animal26",426,"20","0.75"
"C19","animal27",20164,"20","0.75"
"C19","animal28",2130,"20","0.75"
"C2","animal25",31296,"20","0.75"
"C2","animal26",33024,"20","0.75"
"C2","animal27",15456,"20","0.75"
"C2","animal28",292992,"20","0.75"
"C3","animal25",367068,"20","0.75"
"C3","animal26",55770,"20","0.75"
"C3","animal27",339352,"20","0.75"
"C3","animal28",362336,"20","0.75"
"C4","animal25",193228,"20","0.75"
"C4","animal26",31724,"20","0.75"
"C4","animal27",106090,"20","0.75"
"C4","animal28",286134,"20","0.75"
"C5","animal25",77720,"20","0.75"
"C5","animal26",169376,"20","0.75"
"C5","animal27",57352,"20","0.75"
"C5","animal28",474628,"20","0.75"
"C6","animal25",131364,"20","0.75"
"C6","animal26",54468,"20","0.75"
