"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal26","nkp46+",0.134382265745967,7.52919483712354,"TGFBR3","cytokine_receptors"
"Animal26","nkp46-",0.192300981788871,11.5864091909069,"TGFBR3","cytokine_receptors"
"Animal27","nkp46+",0.0308932843254064,1.46523848019402,"TGFBR3","cytokine_receptors"
"Animal27","nkp46-",0.0573364666085366,2.41261841429838,"TGFBR3","cytokine_receptors"
"Animal28","nkp46+",0.0394491532660038,2.82348963029757,"TGFBR3","cytokine_receptors"
"Animal28","nkp46-",0.0617310431970545,3.32843303554601,"TGFBR3","cytokine_receptors"
"Animal52","nkp46+",0.0754979476748132,2.93777469349988,"TGFBR3","cytokine_receptors"
"Animal52","nkp46-",0.12851593012896,7.14041680901947,"TGFBR3","cytokine_receptors"
"Animal25","nkp46+",0.126922027248623,7.95973238291753,"TGFBR2","cytokine_receptors"
"Animal25","nkp46-",0.0536959506396613,1.974841247466,"TGFBR2","cytokine_receptors"
"Animal26","nkp46+",0.0910174447096292,5.51244622003688,"TGFBR2","cytokine_receptors"
"Animal26","nkp46-",0.15951119868961,10.3397702273283,"TGFBR2","cytokine_receptors"
"Animal27","nkp46+",0.0814208546045005,3.67825383993533,"TGFBR2","cytokine_receptors"
"Animal27","nkp46-",0.05321411853033,2.20262261421438,"TGFBR2","cytokine_receptors"
"Animal28","nkp46+",0.158054152129867,11.3615870153291,"TGFBR2","cytokine_receptors"
"Animal28","nkp46-",0.127519878311039,6.92072825964039,"TGFBR2","cytokine_receptors"
"Animal52","nkp46+",0.106664898201189,4.29926307788903,"TGFBR2","cytokine_receptors"
"Animal52","nkp46-",0.138670493180744,8.26785104202255,"TGFBR2","cytokine_receptors"
"Animal25","nkp46+",0.0322639948700808,2.06965547426999,"IL10RA","cytokine_receptors"
"Animal25","nkp46-",0.0231289543978853,0.844442654422919,"IL10RA","cytokine_receptors"
"Animal26","nkp46+",0.0546468314736416,3.33435771358328,"IL10RA","cytokine_receptors"
"Animal26","nkp46-",0.0749148463821694,5.01099975556099,"IL10RA","cytokine_receptors"
"Animal27","nkp46+",0.0251822016002192,1.1519805982215,"IL10RA","cytokine_receptors"
"Animal27","nkp46-",0.034867357365823,1.50263661393439,"IL10RA","cytokine_receptors"
